good,dirty,wait,lastyear,usa
1,0,2.66,2,0
1,0,1.16,1,0
0,0,1.59,3,0
1,0,2.07,1,0
1,0,2.22,1,0
0,0,2.22,2,0
0,0,2.07,5,0
1,0,1.81,2,0
0,0,0.66,5,0
1,0,1.16,1,0
0,0,1.32,3,0
1,0,1.81,2,0
0,0,1.81,4,0
0,0,5.67,2,0
0,0,5.67,1,0
1,0,5.67,1,0
0,0,5.67,2,0
0,0,5.67,2,0
0,0,5.67,4,0
1,0,5.67,2,0
0,0,5.67,8,0
0,0,5.67,2,0
1,0,5.67,3,0
1,0,5.67,1,0
1,0,5.67,1,0
1,0,5.67,8,0
1,0,5.67,1,0
0,0,5.67,1,0
1,0,5.67,1,0
0,0,5.67,2,0
1,0,1.07,4,1
1,0,1.07,2,1
0,0,0.99,1,1
1,0,1.07,1,1
1,0,1.07,1,1
1,0,5.59,1,1
1,0,5.59,2,1
0,0,5.59,2,1
1,0,5.59,4,1
1,0,1.07,1,1
1,0,5.59,2,1
1,0,5.59,8,1
0,0,5.59,1,1
1,0,4.96,2,1
1,0,1.32,1,1
0,1,1.07,18,1
0,0,5.26,1,1
1,0,1.32,4,1
1,0,1.81,2,1
1,0,5.34,2,1
1,0,5.51,9,1
1,0,0.82,2,1
0,0,4.44,1,1
0,0,1.81,4,1
0,0,2.16,2,1
0,0,1.32,1,1
1,0,1.59,2,1
0,0,0.99,2,1
1,0,1.32,2,1
0,0,1.32,2,1
0,0,0.82,1,1
0,0,0.99,2,1
0,0,1.32,1,1
1,0,0.74,2,1
0,0,0.74,3,1
0,0,0.66,1,1
0,0,0.66,1,1
1,0,1.24,2,1
0,0,1.41,2,1
1,0,1.51,5,1
1,0,2.57,1,1
0,1,2.89,1,1
1,0,1.24,1,1
1,0,0.74,6,1
0,0,0.74,1,1
1,0,1.24,1,1
1,3,0.74,3,1
0,0,0.74,2,1
1,0,1.92,2,1
1,0,0.99,2,1
1,0,1.92,2,1
0,0,5.14,11,1
0,0,2.16,1,1
1,0,4.22,2,1
1,1,0.99,3,1
1,0,1.92,2,1
1,0,5.26,17,1
0,0,5.51,4,1
0,0,2.74,1,1
1,0,0.99,7,1
1,0,0.99,2,1
1,0,2.74,1,1
0,0,2.41,4,1
0,0,2.77,3,1
1,0,2.12,1,1
0,0,2.14,2,1
0,0,2.77,2,1
0,0,2.77,1,1
1,0,1.04,2,1
1,0,2.77,1,1
1,0,5.31,2,1
1,0,1.77,2,1
0,0,1.72,2,1
0,0,0.99,5,1
0,0,0.74,22,1
1,0,5.51,1,1
0,0,1.51,1,1
1,0,5.51,10,1
0,0,0.99,1,1
1,0,1.24,3,1
0,0,0.99,3,1
1,0,1.24,1,1
1,0,0.99,4,1
0,0,5.51,4,1
1,0,4.77,1,1
0,0,5.51,2,1
1,0,5.51,4,1
0,0,5.51,1,1
0,0,4.77,2,1
0,0,5.51,1,1
0,0,5.51,1,1
1,0,5.26,2,1
0,0,4.17,3,1
0,0,1.92,68,1
1,0,0.99,1,1
1,0,1.72,2,1
0,0,1.07,8,1
1,0,1.07,1,1
0,0,5.51,1,1
1,0,2.36,2,1
1,0,2.89,5,1
0,0,1.41,1,1
0,0,5.26,3,1
1,0,0.91,1,1
0,0,1.72,1,1
1,1,5.51,48,1
0,0,5.51,1,1
0,0,2.89,3,1
0,0,0.74,1,1
0,0,1.16,1,1
1,0,5.47,8,1
1,0,0.74,1,1
1,0,0.82,1,1
1,0,1.16,1,1
1,0,1.66,1,1
0,0,2.71,2,1
0,0,0.82,2,1
0,0,0.82,3,1
0,0,0.91,1,1
0,2,1.66,1,1
0,0,0.66,2,1
0,0,1.66,2,1
0,0,1.66,5,1
1,0,2.29,1,1
1,1,5.14,4,1
0,0,5.51,1,1
0,0,1.16,1,1
1,0,1.66,1,1
0,0,1.89,1,1
0,1,5.67,1,1
1,0,1.16,1,1
0,0,0.91,1,1
0,0,5.42,1,1
1,0,1.16,2,1
0,0,5.47,1,1
1,0,5.51,5,1
1,0,1.16,1,1
1,0,0.66,2,1
1,0,5.59,1,1
1,0,5.34,2,1
0,0,1.59,1,1
0,1,5.59,1,1
0,2,0.66,1,1
0,0,1.07,6,1
0,0,5.59,18,1
1,0,4.96,1,1
0,0,5.59,4,1
0,0,5.42,1,1
0,0,5.59,1,1
0,0,5.51,1,1
0,0,5.59,8,1
0,0,5.59,9,1
1,0,4.96,1,1
0,0,4.96,3,1
0,0,5.59,1,1
1,0,4.44,1,1
1,0,0.82,1,1
1,0,0.82,1,1
0,1,2.22,1,1
0,0,1.32,3,1
0,0,1.07,1,1
0,0,1.99,1,1
0,0,1.89,1,1
1,0,1.32,1,1
0,0,2.66,1,1
0,1,1.24,2,1
0,0,1.32,3,1
1,0,5.34,5,1
0,0,0.82,1,1
1,0,0.82,0,1
1,0,5.59,1,1
1,0,0.82,1,1
0,0,5.14,1,1
0,0,2.66,5,1
0,0,0.82,2,1
1,0,4.96,4,1
1,0,5.51,1,1
1,0,5.14,1,1
1,0,4.44,7,1
0,0,4.77,1,1
0,0,5.51,3,1
1,0,0.82,1,1
0,0,3.76,1,1
0,0,5.39,3,1
1,0,3.76,2,1
1,0,1.37,1,1
1,0,5.39,2,1
0,0,4.51,2,1
1,0,1.37,3,1
0,0,5.39,10,1
1,1,4.76,3,1
0,0,4.76,61,1
1,0,2.99,2,1
0,0,5.39,1,1
0,1,4.51,8,1
0,0,5.07,2,1
0,1,4.51,1,1
0,0,4.51,1,1
1,1,5.39,3,1
0,0,2.27,8,1
0,0,5.07,4,1
0,1,1.86,1,1
0,0,2.74,4,1
0,0,5.51,47,1
1,0,2.74,2,1
0,0,2.74,12,1
0,0,1.92,2,1
1,0,1.72,1,1
1,0,1.51,1,1
0,0,2.16,1,1
1,0,0.99,1,1
0,0,5.51,1,1
1,0,5.51,2,1
0,0,4.77,5,1
0,0,4.61,2,1
0,0,4.61,4,1
0,0,5.51,4,1
1,1,0.74,2,1
0,0,2.36,1,1
0,0,1.24,4,1
0,0,1.24,1,1
0,0,4.77,1,1
1,0,5.51,7,1
1,0,4.47,2,1
1,0,1.24,3,1
0,0,1.51,1,1
1,0,2.36,1,1
1,0,0.82,4,1
1,0,1.32,1,1
1,0,1.32,1,1
1,0,1.32,2,1
1,0,0.82,1,1
0,0,5.34,2,1
1,0,0.82,7,1
1,0,5.51,2,1
1,0,4.79,4,1
1,0,4.96,2,1
1,0,5.34,25,1
1,0,5.34,1,1
1,0,5.14,3,1
1,0,3.49,4,1
0,0,1.81,11,1
1,0,0.82,1,1
1,0,4.96,2,1
0,1,5.34,1,1
1,0,5.17,4,1
1,0,5.17,1,1
0,0,5.17,2,1
1,0,4.77,2,1
1,0,0.99,1,1
1,0,1.51,1,1
1,0,3.82,1,1
1,0,5.51,3,1
1,0,0.99,1,1
1,0,0.82,1,1
0,0,0.82,1,1
1,0,0.99,1,1
0,0,5.67,2,1
0,0,0.99,6,1
0,0,1.07,1,1
1,0,1.07,1,1
1,0,0.99,2,1
1,0,0.99,1,1
1,0,5.51,1,1
1,0,0.91,3,1
1,0,1.92,4,1
1,0,5.51,70,1
0,0,0.99,2,1
0,0,1.92,1,1
1,0,1.51,4,1
1,0,4.89,1,1
0,0,5.67,1,1
1,0,5.61,4,1
0,0,0.67,1,1
0,0,1.42,2,1
0,0,5.17,7,1
0,0,0.67,1,1
1,0,4.44,4,1
1,0,5.17,4,1
1,0,0.67,2,1
1,0,1.52,2,1
0,0,5.51,1,1
1,0,0.82,1,1
1,0,5.59,8,1
1,0,0.82,1,1
1,0,5.51,23,1
1,0,0.82,6,1
0,0,0.82,4,1
0,0,0.82,3,1
0,0,1.51,1,1
0,0,0.82,1,1
1,0,0.99,1,1
0,0,1.81,4,1
1,0,0.82,2,1
1,0,0.91,1,1
0,0,1.24,1,1
0,0,1.16,1,1
0,2,5.59,1,1
0,0,1.32,7,1
1,0,0.91,4,1
0,0,3.61,1,1
0,0,1.72,3,1
1,0,1.99,1,1
0,0,5.59,2,1
1,0,1.07,2,1
1,0,1.11,1,1
1,0,1.61,1,1
1,0,4.64,1,1
1,0,0.86,3,1
0,0,1.11,1,1
0,0,1.36,9,1
1,0,5.46,1,1
1,0,5.62,1,1
1,0,0.74,1,1
1,0,0.99,3,1
0,0,0.99,5,1
1,0,0.82,1,1
1,0,0.99,1,1
0,0,5.51,8,1
1,0,1.32,2,1
0,0,0.99,4,1
0,0,1.51,1,1
1,0,4.19,0,1
0,0,4.77,2,1
1,0,0.74,20,1
1,0,5.26,3,1
0,0,1.51,1,1
1,0,0.74,1,1
0,0,5.51,14,1
1,0,0.99,3,1
0,0,1.16,2,1
0,0,4.12,2,1
1,0,0.91,1,1
1,0,0.82,10,1
0,0,0.82,5,1
0,0,0.74,3,1
1,0,5.59,1,1
0,0,5.59,1,1
1,0,5.59,1,1
1,1,1.07,7,1
1,0,1.07,1,1
1,0,5.59,2,1
1,1,5.59,1,1
1,0,0.74,1,1
0,0,5.59,3,1
0,0,5.59,1,1
0,0,5.51,1,1
0,0,5.59,13,1
0,0,0.99,4,1
1,0,0.82,2,1
1,0,0.99,8,1
1,0,0.74,1,1
0,0,4.61,5,1
1,0,4.77,2,1
1,0,1.72,1,1
1,0,1.72,1,1
1,0,4.17,2,1
1,0,5.26,6,1
1,0,5.26,10,1
0,0,5.51,13,1
1,0,4.17,17,1
1,0,5.51,3,1
0,0,5.59,4,1
1,0,0.99,2,1
1,0,0.99,1,1
1,0,1.24,1,1
1,0,1.41,3,1
0,1,2.57,1,1
1,0,1.51,1,1
1,0,0.99,1,1
0,0,0.99,4,1
0,0,1.24,4,1
0,0,0.99,2,1
1,0,1.72,1,1
0,0,0.99,3,1
1,0,1.24,4,1
1,0,1.72,1,1
0,0,1.92,2,1
1,0,5.26,4,1
0,0,4.77,4,1
1,0,1.51,1,1
1,0,1.51,1,1
1,0,5.26,1,1
1,0,1.92,1,1
0,0,1.51,2,1
1,0,1.51,1,1
1,0,4.77,1,1
1,0,5.51,1,1
0,0,4.96,1,1
1,0,4.77,1,1
0,0,2.29,2,1
0,0,5.44,4,1
1,0,2.71,1,1
1,0,0.91,1,1
1,0,2.66,1,1
1,0,4.61,2,1
1,0,0.66,2,1
1,0,2.71,2,1
1,0,5.42,18,1
1,0,1.07,1,1
1,0,0.82,12,1
1,0,5.42,3,1
1,0,0.82,3,1
1,0,1.07,3,1
1,0,4.96,10,1
1,0,0.91,4,1
0,0,1.07,1,1
1,0,4.96,14,1
0,0,5.26,40,1
1,1,0.82,1,1
1,0,0.82,3,1
0,0,5.59,4,1
1,0,5.59,1,1
1,0,0.74,1,1
0,0,5.59,1,1
0,0,1.24,5,1
0,0,0.74,3,1
1,0,5.59,5,1
0,1,0.91,19,1
1,0,5.59,8,1
1,0,5.34,4,1
1,0,0.99,1,1
1,0,5.34,2,1
0,0,1.16,3,1
1,0,5.51,6,1
0,0,1.24,7,1
1,0,5.26,3,1
0,0,5.51,8,1
1,0,5.14,3,1
1,0,1.51,1,1
0,0,0.99,1,1
1,0,4.77,5,1
0,0,1.24,1,1
0,0,0.66,2,1
1,0,5.59,7,1
0,0,0.99,1,1
1,0,5.51,1,1
1,0,5.51,1,1
1,0,0.66,3,1
1,0,5.19,10,1
1,0,5.14,3,1
1,0,1.41,4,1
0,1,5.34,4,1
0,0,0.66,5,1
1,0,0.66,10,1
1,0,5.51,3,1
0,0,5.42,3,1
1,0,1.16,4,1
1,0,5.14,47,1
0,0,5.14,15,1
1,0,0.66,5,1
1,0,5.42,9,1
0,0,1.16,32,1
1,0,5.14,1,1
0,0,1.66,1,1
0,0,5.34,4,1
1,0,0.99,5,1
1,0,2.07,1,0
1,0,1.66,1,0
1,0,2.86,2,0
1,0,1.66,1,0
1,0,2.07,5,0
1,0,1.66,4,0
1,0,1.66,5,0
0,0,1.99,1,0
1,0,0.91,4,0
1,0,1.16,3,0
0,0,1.66,1,0
0,0,1.59,4,0
1,0,2.51,2,0
1,0,2.07,1,0
0,0,0.66,1,0
1,0,5.42,3,0
1,1,2.07,2,0
1,0,1.66,1,0
1,0,1.41,1,0
1,0,1.16,1,0
1,0,1.16,1,0
1,0,0.91,1,1
1,0,1.92,1,1
1,0,2.16,2,1
1,0,1.51,1,1
0,0,1.24,1,1
0,0,1.24,1,1
1,0,0.99,1,1
1,0,0.99,1,1
0,0,1.24,4,1
0,1,5.26,2,1
1,0,0.91,4,1
1,0,2.29,1,1
1,0,1.89,2,1
1,0,1.41,7,1
0,0,0.99,4,1
1,0,2.81,1,1
1,0,4.61,2,1
1,0,5.14,2,1
0,0,1.41,1,1
1,0,5.42,2,1
0,1,4.61,1,1
0,0,5.42,1,1
1,0,4.61,2,1
1,0,0.91,5,1
0,0,1.89,4,1
0,0,1.89,2,1
0,0,5.42,7,1
1,0,1.41,1,1
0,0,5.32,3,1
1,0,1.64,4,1
1,0,2.34,9,1
1,0,0.97,2,1
1,0,3.04,2,1
0,0,1.47,1,1
0,1,5.49,5,1
1,0,1.91,1,1
0,0,0.97,2,1
1,0,3.81,30,1
1,0,1.47,43,1
1,0,2.42,2,1
1,0,2.42,2,1
0,0,3.22,2,1
0,0,5.49,44,1
1,0,0.74,1,1
1,0,5.26,3,1
1,0,1.07,5,1
0,0,1.59,1,1
1,0,3.17,1,1
1,0,1.07,1,1
0,1,1.59,1,1
1,0,1.32,1,1
1,0,3.49,4,1
1,0,1.59,1,1
1,0,5.26,2,1
0,0,5.51,46,1
1,0,1.99,1,1
0,0,3.09,1,1
1,0,3.09,1,1
1,0,5.51,1,1
1,0,3.54,1,1
1,0,3.54,1,1
1,0,5.34,4,1
1,0,1.07,4,1
1,0,3.34,5,1
1,0,5.24,2,1
0,0,1.71,3,1
1,0,1.06,3,1
0,2,2.56,8,1
1,0,0.89,10,1
0,0,0.72,3,1
1,2,4.62,1,1
1,0,4.27,2,1
0,0,5.66,1,1
0,0,5.24,1,1
1,0,4.36,1,1
1,0,1.57,9,1
0,0,1.89,5,1
1,0,1.41,4,1
0,0,1.41,2,1
0,0,4.77,3,1
1,1,1.07,18,1
0,0,0.99,3,1
1,0,1.81,2,1
0,0,5.51,53,1
1,0,5.59,4,1
1,0,1.81,4,1
0,0,1.07,2,1
0,0,1.32,3,1
1,0,0.82,1,1
1,1,0.82,2,1
1,0,0.82,4,1
0,0,4.44,6,1
1,0,0.82,2,1
1,0,1.32,3,1
1,0,0.99,3,1
0,0,0.82,1,1
0,0,5.59,9,1
1,0,0.82,12,1
1,0,1.32,1,1
0,0,0.82,2,1
1,0,0.82,7,1
1,0,4.96,2,1
1,0,1.07,1,1
1,0,4.67,2,1
1,0,0.91,1,1
1,0,2.29,1,1
1,0,1.89,0,1
0,0,1.07,1,1
1,0,1.41,2,1
1,0,5.01,4,1
1,0,2.71,15,1
1,0,1.89,10,1
1,0,2.71,4,1
1,1,1.41,5,1
1,1,2.71,2,1
0,0,1.89,1,1
1,0,1.89,1,1
0,0,1.41,1,1
0,2,3.96,1,1
1,0,2.24,3,1
1,0,1.94,1,1
1,0,5.36,3,1
0,0,5.61,4,1
1,0,3.94,3,1
0,0,3.27,5,0
0,0,1.66,1,0
1,0,0.74,1,0
1,0,1.72,2,0
1,0,2.57,2,0
1,1,1.72,2,0
0,0,1.51,1,0
1,0,0.99,2,0
1,0,4.49,1,0
0,0,2.51,1,0
0,0,2.16,2,0
1,0,1.89,2,0
0,0,3.44,6,0
1,0,3.44,1,0
1,0,0.74,5,0
1,0,1.41,1,0
1,0,3.44,1,0
1,0,1.24,5,0
0,0,2.16,2,0
1,0,1.72,2,0
1,0,1.92,2,0
1,0,1.99,2,0
1,0,2.57,1,0
1,0,1.89,1,0
1,0,2.16,22,0
1,0,2.16,2,0
1,0,1.24,1,0
1,0,1.24,1,0
1,0,1.24,9,0
0,0,1.24,5,0
1,0,0.99,8,0
0,0,2.16,1,0
1,0,0.99,1,0
0,0,5.26,2,0
1,2,1.24,2,0
1,0,1.24,2,0
0,0,0.99,3,1
1,0,0.99,2,1
1,0,1.51,7,1
1,0,5.51,5,1
1,0,1.24,2,1
1,0,1.51,4,1
1,0,1.51,1,1
1,0,1.51,1,1
1,0,3.59,1,1
0,0,0.99,14,1
1,0,5.51,2,1
1,0,0.99,1,1
0,0,0.99,1,1
1,0,0.99,2,1
0,0,2.36,4,1
1,0,0.99,3,1
0,0,1.51,2,1
1,0,1.51,2,1
1,0,0.99,2,1
0,0,0.99,4,1
1,0,3.56,1,1
1,0,0.99,2,1
1,0,0.99,5,1
1,0,1.92,2,1
1,0,1.92,4,1
1,0,1.92,2,1
0,0,1.24,8,1
0,0,1.92,1,1
1,0,3.06,2,1
1,0,1.92,3,1
1,0,1.51,3,1
1,0,1.92,4,1
1,0,1.51,5,1
1,0,1.16,2,1
1,0,1.16,4,1
0,0,5.14,9,1
0,0,4.37,1,1
1,0,5.56,10,1
1,0,5.14,5,1
1,0,0.99,3,1
1,0,1.92,3,1
1,0,1.51,2,1
1,0,5.51,2,1
1,0,1.51,5,1
1,0,0.99,57,1
0,0,2.89,1,1
0,0,5.51,5,1
1,0,0.99,1,1
1,0,1.24,4,1
0,0,0.99,5,1
0,0,4.79,2,1
1,0,1.24,2,1
1,0,4.77,2,1
1,0,5.42,5,1
0,2,5.26,5,1
1,0,0.74,4,1
1,0,0.74,3,1
0,0,5.59,1,1
1,0,0.66,3,1
1,0,5.26,1,1
1,0,5.42,4,1
1,0,5.26,3,1
1,0,5.67,1,1
1,0,5.26,4,1
0,0,5.59,4,1
1,0,5.59,70,1
1,0,5.26,3,1
1,0,0.66,6,1
0,0,5.34,7,1
1,0,5.42,11,1
0,0,5.14,3,1
1,0,1.41,1,1
0,0,5.51,2,1
0,0,0.99,5,1
0,0,5.34,3,1
0,0,0.66,8,1
0,1,4.44,0,1
0,1,5.34,0,1
0,0,1.99,1,1
0,0,5.34,8,1
1,0,4.44,5,1
1,0,0.99,2,1
1,0,1.32,2,1
0,2,1.32,6,1
1,3,1.32,13,1
0,0,5.67,2,1
1,0,5.67,5,1
0,0,0.91,2,1
1,0,1.32,3,1
1,0,2.22,3,1
1,0,2.22,2,1
0,0,0.99,5,1
0,0,1.32,2,1
0,0,0.96,1,0
1,0,0.96,2,0
1,0,0.79,1,0
0,0,5.56,3,0
1,0,1.77,1,0
1,0,0.79,5,0
0,0,5.31,1,0
0,0,5.07,1,0
0,0,0.79,7,0
0,2,5.31,7,0
0,0,5.64,1,0
0,0,0.79,1,0
1,0,5.31,2,0
0,0,0.79,4,0
1,0,5.56,2,0
0,0,1.29,2,0
0,0,5.64,2,0
1,0,5.64,1,0
0,0,0.91,3,0
0,0,0.79,3,0
1,0,1.29,2,0
0,0,0.79,8,0
0,0,5.07,2,0
1,0,0.76,1,1
0,0,1.42,1,1
1,0,2.91,1,1
1,0,5.27,1,1
1,0,5.52,1,1
1,0,5.27,1,1
1,0,1.26,1,1
1,0,2.19,2,1
1,0,1.77,2,1
1,0,5.64,1,1
1,0,1.04,5,1
1,0,3.07,1,1
1,0,5.31,1,1
1,0,2.66,2,1
0,0,2.96,2,1
1,0,0.99,1,1
0,0,1.32,1,1
1,0,1.09,3,1
0,0,1.07,1,1
1,0,1.81,1,1
0,0,5.34,3,1
0,0,1.81,1,1
0,0,5.34,1,1
1,0,0.82,4,1
1,0,0.82,2,1
1,0,0.82,1,1
1,0,1.07,1,1
1,0,0.82,1,1
1,0,1.81,1,1
0,2,2.22,5,1
0,0,1.32,6,1
1,0,1.72,1,1
1,0,1.32,1,1
1,0,1.07,3,1
1,0,0.82,1,1
0,0,1.81,1,1
1,0,2.74,2,1
1,1,1.72,8,1
0,0,1.92,3,1
1,0,0.99,3,1
1,0,1.16,5,1
1,0,1.16,1,1
1,0,1.92,2,1
1,0,2.16,4,1
1,0,2.07,2,1
1,0,2.57,8,1
1,0,1.89,5,1
0,0,1.92,9,1
0,0,1.81,3,1
1,0,1.24,1,1
1,0,4.17,1,1
1,0,2.36,1,1
1,0,0.99,4,1
0,0,5.67,0,1
0,0,1.66,6,1
0,2,0.99,1,1
0,3,1.92,41,1
0,0,1.16,2,1
1,0,1.16,5,1
0,0,1.92,1,1
1,0,0.91,1,1
1,0,1.16,2,1
1,0,0.66,2,1
0,1,0.66,1,1
0,0,1.16,1,1
0,0,0.91,1,1
1,0,2.07,1,1
0,0,0.66,2,1
1,0,0.66,1,1
0,0,3.16,1,1
1,0,0.99,1,1
0,0,5.41,8,1
0,0,1.29,7,0
0,0,2.41,5,0
1,0,2.39,1,0
1,0,2.19,1,0
1,0,1.77,2,0
1,0,2.19,8,0
0,0,2.19,1,0
1,0,2.27,2,0
1,0,2.19,4,0
1,0,2.19,2,0
1,0,2.61,2,0
1,0,2.92,1,0
0,0,2.19,1,0
0,0,2.61,2,0
0,0,2.32,4,0
1,0,2.61,2,0
1,0,2.19,2,0
1,0,1.77,1,0
0,0,2.41,0,0
0,0,5.67,4,0
1,0,1.72,2,0
1,0,2.16,2,0
1,0,2.57,3,0
1,0,2.16,1,0
1,0,2.89,1,0
0,0,1.24,1,0
0,0,2.16,1,0
0,0,2.57,4,0
1,0,0.74,4,0
1,0,3.44,2,0
1,0,2.16,0,0
1,0,1.72,1,0
0,0,2.57,7,0
1,0,1.72,2,0
0,0,2.07,1,0
0,0,2.07,1,0
1,0,1.41,1,0
1,0,1.59,1,0
1,0,5.67,5,0
1,0,2.07,2,0
1,0,1.66,1,0
1,0,2.36,1,0
1,0,1.66,2,0
1,0,0.66,6,0
1,0,1.16,4,0
1,0,1.41,3,0
0,0,1.41,20,0
1,0,2.51,2,0
1,0,0.99,4,0
0,0,0.66,5,0
0,0,2.07,6,0
0,0,2.86,1,0
1,0,2.36,1,0
0,0,1.92,3,0
0,0,1.51,1,0
0,0,0.99,2,0
1,0,0.99,1,0
0,0,0.99,2,0
